pt,pref_question_pre,pref_slider_pre_1,winning_party,winning_party.1,winning_scale_1,winning_scale_1.1,justification,bias_rating_1,bias_rating_1.1,bias.justification,bias_control_1,bias_control_1.1,age,education,survey_about,comments,Order,chosen_winner,Position,Level,Slant,ChartType
279,Graphical chart,-13,,Green,NA,8,"Blue seems to be in flux.  While there is grow in year one and three, it shrinks in year two.  Green, on the other hand, just increases.  If blue shrinks in year four and green continues to increase, it is likely that Green will win.",NA,-14,"The title of the graph is biased toward blue.  It says that blue party is highly involved in campus activities, but ignores the fact that green is increasing at a faster rate and that in year two blue involvement went down.",NA,0,35 - 44,4 year degree,To see if people can read and understand charts and to see if people prefer charts.,,BlueLeft,Green,Title,4,Blue,Bar
280,Graphical chart,-13,Green,,-13,NA,"Blue has gone up and down over the past three years while Green has only been on the climb. I have a feeling like in year 2, blue will go down again and green will continue to rise gradually above it in year 4.",-4,NA,"It is not like anything crazy has happened to both parties to indicate a bias. Blue has gone up and down showing weakness and green has just gradually been going up, so nothing explosive or crazy. It most likely a neutral party, but could possibly be green considering they have only been going up and their jump from year 2 to 3 in percentage of votes. However, I believe that a neutral party with some green influence might have compiled the chart.",0,NA,18 - 24,Some college,My opinion and judgements of different kinds of charts.,None.,GreenLeft,Green,Title,4,Blue,Bar
281,Graphical chart,-8,,Green,NA,13,Because the votes for green have increased in each subsequent year. ,NA,7,Because it indicates that the green party might win. ,NA,5,18 - 24,Some college,,,BlueLeft,Green,Title,3,Green,Bar
282,Graphical chart,13,Blue,,20,NA,they have a higher percentage of votes,25,NA,"Could be biased
",7,NA,18 - 24,Some college,,,GreenLeft,Blue,Title,4,Blue,Bar
283,Graphical chart,-14,,Green,NA,2,Green has had consistent growth,NA,0,Seems neutral,NA,0,25 - 34,2 year degree,,,BlueLeft,Green,Annotation,3,Blue,Bar
284,Graphical chart,-16,Green,,-13,NA,The trend has shown green is outpacing blue,-24,NA,Trying to show that green is much more popular now than it used to be,NA,NA,35 - 44,Professional degree,,,GreenLeft,Green,Annotation,Control,Green,Bar
285,Graphical chart,-15,,Green,NA,11,Green is gaining ground every year and increasing votership.,NA,0,Nothing about it seems to suggest bias.,NA,NA,35 - 44,Professional degree,,,BlueLeft,Green,Title,Control,None,Bar
286,Graphical chart,-13,Blue,,13,NA,Blue has historically won,0,NA,I have no idea who published it so I assume neutral,0,NA,35 - 44,Professional degree,,,GreenLeft,Blue,Annotation,2,Green,Bar
287,Graphical chart,-12,,Green,NA,9,"Results over the past few years have trended green, but there is always uncertainty.",NA,-5,The title of the chart - emphasizes blue's victories over green.,NA,0,35 - 44,Professional degree,,,BlueLeft,Green,Title,2,Blue,Bar
288,Graphical chart,-17,Blue,,13,NA,"Blue has been the consistent winner. Sure, green is up-and-coming, but when you reach a tie decision like these where it's versus a consistent winner, consistency usually wins albeit a small margin.",-5,NA,Highlights the gain of the green votes over a consistently voted player. The changing factor is always what people pay attention to.,-6,NA,18 - 24,Some college,It was interesting. I do realize that I like graphs more than I originally thought. ,No. Everything was easy to understand.,GreenLeft,Blue,Annotation,2,Green,Bar
289,Graphical chart,-12,,Blue,NA,-5,"Blue has won every year so far, but I am not entirely sure since green has been increasing at the same rate every year.",NA,0,I did not notice any bias in this chart.,NA,0,18 - 24,2 year degree,,,BlueLeft,Blue,Annotation,4,Green,Bar
290,Graphical chart,-7,Blue,,20,NA,Blue has consistently received higher votes for all 3 years.,0,NA,There is no information indicating whether or not the author was from the Green or Blue partry.,NA,NA,25 - 34,4 year degree,I think it was trying to compare peoples' feelings of graphs and textual information.,"It was very interesting and relevant, thank you.",GreenLeft,Blue,Title,Control,None,Bar
291,Text,25,Green,,-13,NA,Looks like green is trending higher faster than blue,-13,NA,Could've manipulated the chart,NA,NA,25 - 34,Professional degree,Don't know,,GreenLeft,Green,Annotation,Control,Blue,Bar
292,Graphical chart,-10,Blue,,18,NA,historically they have earned more votes.,0,NA,I don't see why they would have any bias.,0,NA,25 - 34,Some college,,,GreenLeft,Blue,Title,3,Blue,Bar
293,Graphical chart,-10,Blue,,1,NA,"It's tough to predict because green has increased in voting every year, yet blue has won every year. It's possible green's trajectory will continue and surpass blue, but until then I would lean towards blue.",7,NA,The elimination of the other votes may influence one's understanding of the graph.,7,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Title,3,Blue,Bar
294,Graphical chart,-25,,Green,NA,0,I think so because Green has been increasing each year.,NA,1,It looks like it would be a tie.,NA,14,18 - 24,Some college,,,BlueLeft,Green,Title,2,Blue,Bar
295,Text,13,Blue,,10,NA,"Although green has been closing the distance each year, it doesn't seem like they will pass blue just yet",0,NA,I see no reason why they would be blue or green,NA,NA,25 - 34,Some college,,,GreenLeft,Blue,Annotation,Control,Blue,Bar
296,Text,12,,Blue,NA,-1,"It appears that blue might still have the slightest of advantages this year. If trends continue, green will win next year.",NA,12,"Votes for green were higher than ever, but so were votes for blue. It seems green is trying to spin the results.",NA,0,35 - 44,Professional degree,,,BlueLeft,Blue,Annotation,2,Green,Bar
297,Graphical chart,0,,Blue,NA,-6,Blue has never gotten below 40% of the vote and last year had over 50%,NA,-2,"The title.  If green had authored the chart, the title would likely have pointed out how their percentage was rising year over year.",NA,0,55 - 64,Professional degree,Whether actually seeing information in a chart versus text form changed my initial opinion about which I preferred.,,BlueLeft,Blue,Title,3,Blue,Bar
299,Graphical chart,-15,Green,,-13,NA,"Year over year Green has increased their percentage of votes, whereas blue has been sporadic. ",-10,NA,To show that Green has an upward trajectory related to votes.,NA,NA,25 - 34,Professional degree,,,GreenLeft,Green,Annotation,Control,Blue,Bar
300,Graphical chart,-19,Green,,-4,NA,The percentage they get has been steadily increasing.,0,NA,I think it looks pretty unbiased.,0,NA,25 - 34,Professional degree,,,GreenLeft,Green,Annotation,4,Blue,Bar
301,Text,18,,Blue,NA,-13,it looks as though green is making gains but blue has won three years in a row.,NA,0,It's data.  Assume it's accurate so it doesn't matter who the author was.,NA,0,55 - 64,Professional degree,Receiving information.,,BlueLeft,Blue,Title,2,Blue,Bar
302,Graphical chart,-20,,Green,NA,13,"Since votes for the Green party have shown an increasing trend year after year, I believe this trend will continue and result in a win for Green in Year 4.",NA,8,I think the author may have possibly been a Green author since it emphasizes that votes for Green have increased each year. This may indicate a possible bias.,NA,0,18 - 24,2 year degree,I thought this survey was to test how different people interpret charts.,I enjoyed participating!,BlueLeft,Green,Title,3,Green,Bar
303,Graphical chart,-10,,Blue,NA,-12,"While great strides have been made by Green, Blue had a majority in the last election.",NA,0,"I do not think there are clear signs of bias. The range isn't crazy. The only thing off is that they left out the other smaller parties, but I do not know whose party that would benefit.",NA,0,18 - 24,Some college,,,BlueLeft,Blue,Title,2,Green,Bar
304,Text,13,Green,,-13,NA,I believe their upward trend will continue since it's gone up every year,1,NA,I chose to think when they made the chart they were using facts and numbers,1,NA,45 - 54,Some college,How people view charts versus text and which they prefer,It was very clear and straight forward.  Thank you for the opportunity!,GreenLeft,Green,Annotation,4,Green,Bar
305,Graphical chart,-15,,Blue,NA,-13,"Every year the blue party wins in votes, but as the years go on green gets close to reaching blue's lead. So in year 4 blue is the likely winner but green has the possibly to finally overcome and win.",NA,-13,It could possibly be blue because it looks like every year blue gets around 50 percent of the votes but in year 3 the blue bar is longer because green is catching up to their lead,NA,-13,18 - 24,4 year degree,How well we distinguish info between paragraphs and charts,,BlueLeft,Blue,Annotation,4,Green,Bar
306,Graphical chart,-15,Blue,,10,NA,"While blues voting turnout is more sporadic, green needs a higher percent increase that is less likely to happen.",-15,NA,To show a consistent increase in voting for the green party.,-15,NA,25 - 34,Some college,Companies want to know how to display data to customers.,,GreenLeft,Blue,Annotation,3,Green,Bar
307,Graphical chart,-10,,Green,NA,7,They have been trending upwards every year so far.,NA,0,There is no way to know if any of the data is skewed in one direction and therefore misrepresented by one of the parties.,NA,NA,18 - 24,Some college,,,BlueLeft,Green,Title,Control,None,Bar
308,Graphical chart,-13,Green,,-13,NA,Green seems to be rising in popularity. ,-8,NA,"It shows Green as rising in popularity but also Blue, so not too biased. ",-5,NA,35 - 44,4 year degree,,,GreenLeft,Green,Annotation,2,Green,Bar
309,Text,12,,Blue,NA,-3,"Blue has a history of winning, but the margins are getting tighter.",NA,12,The information suggests  a positive trend for the green party.,NA,NA,25 - 34,4 year degree,,,BlueLeft,Blue,Title,Control,None,Bar
310,Text,11,,Blue,NA,-11,Blue has greater percentage of votes on average for years 1 through 3. It's likely the trend will continue for year 4,NA,-12,This graph clearly shows blue is more popular than green for years 1-3. A blue author would like to emphasize this whereas green wouldn't ,NA,-3,25 - 34,4 year degree,,,BlueLeft,Blue,Annotation,4,Blue,Bar
311,Graphical chart,-13,,Blue,NA,-4,"Blue because they have consistently had higher percentages, but green is increasing their votes, so it will be closer. ",NA,-4,The title seems more slighted towards blue,NA,0,25 - 34,Professional degree,None,None,BlueLeft,Blue,Title,4,Blue,Bar
312,Graphical chart,-7,Blue,,13,NA,blue is always leading,15,NA,its really close but overall blue is leading,12,NA,18 - 24,2 year degree,,,GreenLeft,Blue,Title,3,Green,Bar
313,Graphical chart,-20,Green,,-11,NA,"Blue is steadily losing votes, so unless a turnaround happens green should have it. ",0,NA,It seems unbiased both parties in the upcoming election will be very close.,-5,NA,25 - 34,High school graduate,,,GreenLeft,Green,Annotation,3,Green,Bar
314,Graphical chart,-15,Blue,,19,NA,The odds are in the charts,7,NA,"I would hope so 
Neutral party",NA,NA,45 - 54,Less than high school,If people prefer text or chart information ,Fun,GreenLeft,Blue,Title,Control,None,Bar
315,Graphical chart,-12,,Green,NA,14,green has a steady uphill trajectory in all 3 years.,NA,0,I would hope bias is left out. ,NA,0,25 - 34,Some college,,,BlueLeft,Green,Title,2,Blue,Bar
316,Graphical chart,-13,Blue,,24,NA,It is consistent through the 3 years that blue receives the most voters. ,0,NA,It does not seem skewed in any way towards blue and seems like an accurate representation of the voters results. ,0,NA,18 - 24,Some college,I honestly do not know. ,,GreenLeft,Blue,Title,4,Green,Bar
317,Graphical chart,14,,Green,NA,13,Green gains more votes each year  so I'm thinking Green will finally win.,NA,0,"It seems to be factual and non bias, there is no favor.",NA,1,18 - 24,4 year degree,,,BlueLeft,Green,Annotation,4,Green,Bar
318,Graphical chart,0,,Green,NA,1,green has gain on blue over the past three years,NA,1,most polls are done by an outside group,NA,0,65 - 74,4 year degree,,,BlueLeft,Green,Annotation,3,Blue,Bar
319,Text,13,Blue,,20,NA,"While green has risen substantially in years 2 and 3, it is not clear whether that is due to growing popularity or due to an increased number of students attending the school, or more student are participating in the election.
Besides that, blue has retained the lead despite the increase of green votes. It is likely that students will continue to vote blue.",6,NA,"It could be a neutral party stating facts, but the title ""Votes for Blue Greater than Green in years 1, 2, and 3"" could sound persuasive towards an undecided voter; if Blue is going to win anyways, they might as well vote for them or throw their vote away.",0,NA,25 - 34,4 year degree,,,GreenLeft,Blue,Annotation,2,Blue,Bar
